cid	frequency
99	0.09441438695420254
100	0.0028956793416139606
101	0.02949020803170007
102	0.004114912748609313
103	0.008534633848967462
104	0.03520536462699078
105	0.005791358683227921
106	0.018898117808427952
107	0.008534633848967462
108	0.026061114074525642
109	0.012420940333765146
110	0.053722471995732685
111	0.007772612969595367
112	0.005638954507353502
113	0.052046026061114074
114	0.004724529452106988
115	0.003124285605425589
116	0.05654194924940943
117	0.013106759125200032
118	0.012497142421702356
119	0.011430313190581423
120	0.015545225939190733
121	0.05425588661129315
122	0.00876324011277909
123	0.025756305722776804
124	0.01470700297188143
125	0.0032004876933627983
126	0.055322715842414084
127	0.006781985826411644
128	0.010896898575020957
129	0.0020574563743046563
130	0.005334146155604664
131	0.024537072315781453
132	0.009677665168025604
133	0.08603215728110951
134	0.012039929894079099
135	0.05562752419416292
136	0.02507048693134192
137	0.01623104473062562
138	0.010592090223272118
139	0.03070944143869542
140	0.03337651451649775
141	0.006934390002286063
142	0.00876324011277909
143	0.005181741979730245
144	0.015392821763316316
145	0.012725748685513984
146	0.05082679265411873
147	0.026137316162462853
148	0.0008382229673093043
149	0.04252076506896289
150	0.014021184180446544
151	0.05722776804084432
152	0.008610835936904673
153	0.018898117808427952
154	0.028042368360893088
155	0.02209860550179075
156	0.0018288501104930278
157	0.014478396708069802
158	0.053570067819858264
159	0.03330031242856054
160	0.009525260992151185
161	0.0038863064847976833
162	0.0030480835174883794
163	0.006019964947039549
164	0.012878152861388402
165	0.0054865503314790835
166	0.025299093195153548
167	0.005715156595290712
168	0.01798369275318144
169	0.0035814981330488456
170	0.009449058904213976
171	0.004343519012420941
172	0.0075440067057837385
173	0.0012954354949325612
174	0.022174807589727962
175	0.0006858187914348852
176	0.007239198354034901
177	0.0025908709898651225
178	0.006400975386725597
179	0.011201706926769795
180	0.004800731540044198
181	0.006934390002286063
182	0.01181132363026747
183	0.005105539891793035
184	0.004800731540044198
185	0.005257944067667455
186	0.0016002438466813991
187	0.03253829154918845
188	0.0038863064847976833
189	0.003276689781300008
190	0.003124285605425589
191	0.005334146155604664
192	0.023470243084660523
193	0.004953135715918616
194	0.0028956793416139606
195	0.0038863064847976833
196	0.03985369199116056
197	0.005257944067667455
198	0.024460870227844246
199	0.00899184637659072
200	0.012192334069953518
201	0.0004572125276232569
202	0.0006096167034976758
203	0.007086794178160482
204	0.08206964870837462
205	0.003810104396860474
206	0.057608778480530365
207	0.009906271431837232
208	0.0022860626381162844
209	0.011506515278518632
210	0.0018288501104930278
211	0.0013716375828697707
212	0.004343519012420941
213	0.02042215956717214
214	0.005105539891793035
215	0.027051741217709365
216	0.007391602529909319
217	0.008610835936904673
218	0.003276689781300008
219	0.0030480835174883794
220	0.002362264726053494
221	0.013030557037262821
222	0.005029337803855826
223	0.012801950773451193
224	0.004038710660672103
225	0.0018288501104930278
226	0.01905052198430237
227	0.012497142421702356
228	0.005410348243541874
229	0.005181741979730245
230	0.012954354949325612
231	0.001752648022555818
232	0.012573344509639565
233	0.0013716375828697707
234	0.008229825497218625
235	0.007848815057532576
236	0.012801950773451193
237	0.015392821763316316
238	0.009220452640402348
239	0.0025146689019279133
240	0.011506515278518632
241	0.008382229673093045
242	0.0008382229673093043
243	0.002362264726053494
244	0.0016764459346186086
245	0.0030480835174883794
246	0.0016764459346186086
247	0.0004572125276232569
248	0.0006096167034976758
249	0.0019050521984302373
250	0.004343519012420941
251	0.0030480835174883794
252	0.006248571210851178
253	0.0019050521984302373
254	0.002362264726053494
255	0.004114912748609313
256	0.0027432751657395418
257	0.005791358683227921
258	0.006324773298788387
259	0.005181741979730245
260	0.005181741979730245
261	0.0015240417587441897
262	0.004191114836546522
263	0.0016002438466813991
264	0.003276689781300008
265	0.00297188142955117
266	0.003124285605425589
267	0.0020574563743046563
268	0.0006858187914348852
269	0.0004572125276232569
270	0.006629581650537225
271	0.0021336584622418655
272	0.0004572125276232569
273	0.00876324011277909
274	0.0006858187914348852
275	0.006781985826411644
276	0.0014478396708069803
277	0.0016764459346186086
278	0.002362264726053494
279	0.0016002438466813991
280	0.006324773298788387
281	0.0004572125276232569
282	0.0032004876933627983
283	0.002819477253676751
284	0.0025908709898651225
285	0.0009144250552465138
286	0.0012192334069953518
287	0.0004572125276232569
288	0.0006096167034976758
289	0.0007620208793720949
290	0.00030480835174883796
291	0.003505296045111636
292	0.0013716375828697707
293	0.0004572125276232569
294	0.0009906271431837231
295	0.0004572125276232569
296	0.002667073077802332
297	0.0024384668139907036
298	0.0016764459346186086
299	0.0006096167034976758
300	0.0019812542863674467
301	0.0006858187914348852
302	0.003505296045111636
303	0.0030480835174883794
304	0.0004572125276232569
305	0.0032004876933627983
306	0.0028956793416139606
307	0.0005334146155604664
308	0.0
309	0.0004572125276232569
310	0.008077421321344204
311	0.0019050521984302373
312	0.0007620208793720949
313	0.0004572125276232569
314	0.0018288501104930278
315	0.0008382229673093043
316	0.0009906271431837231
317	0.00030480835174883796
318	0.0006858187914348852
319	0.0006858187914348852
320	0.0012954354949325612
321	0.0027432751657395418
